,NCBI_ID,gene_symbol,alias_symbol,gene_type,HGNC_ID,ENSG_ID,collision,source
63872,GENE ID:349149,GJC3,GJE1,protein-coding,HGNC:17495,ENSG00000176402,GJE1,NCBI
7587,GENE ID:2645,GCK,GK,protein-coding,HGNC:4195,ENSG00000106633,GK,NCBI
7448,GENE ID:2585,GALK2,GK2,protein-coding,HGNC:4119,ENSG00000156958,GK2,NCBI
25933,GENE ID:9027,NAT8,GLA,protein-coding,HGNC:18069,ENSG00000144035,GLA,NCBI
36961,GENE ID:27165,GLS2,GLS,protein-coding,HGNC:29570,ENSG00000135423,GLS,NCBI
8290,GENE ID:2894,GRID1,GluD1,protein-coding,HGNC:4575,ENSG00000182771,GLUD1,NCBI
8292,GENE ID:2895,GRID2,GluD2,protein-coding,HGNC:4576,ENSG00000152208,GLUD2,NCBI
61579,GENE ID:283856,GNAO1-DT,GNAO1-AS1,ncRNA,HGNC:27543,ENSG00000246379,GNAO1-AS1,NCBI
68008,GENE ID:440270,GOLGA8B,GOLGA5,protein-coding,HGNC:31973,ENSG00000215252,GOLGA5,NCBI
44605,GENE ID:55889,GOLGA6B,GOLGA6D,protein-coding,HGNC:32205,ENSG00000215186,GOLGA6D,NCBI
33110,GENE ID:23015,GOLGA8A,GOLGA8B,protein-coding,HGNC:31972,ENSG00000175265,GOLGA8B,NCBI
61562,GENE ID:283768,GOLGA8G,GOLGA8F,protein-coding,HGNC:25328,ENSG00000183629,GOLGA8F,NCBI
70167,GENE ID:643699,GOLGA8N,GOLGA8R,protein-coding,HGNC:44405,ENSG00000232653,GOLGA8R,NCBI
55895,GENE ID:127845,GOLT1A,GOT1,protein-coding,HGNC:24766,ENSG00000174567,GOT1,NCBI
39777,GENE ID:51026,GOLT1B,GOT1,protein-coding,HGNC:20175,ENSG00000111711,GOT1,NCBI
82437,GENE ID:100526833,SEPT5-GP1BB,GP1BB,ncRNA,,ENSG00000284874,GP1BB,NCBI
28648,GENE ID:10007,GNPDA1,GPI,protein-coding,HGNC:4417,ENSG00000113552,GPI,NCBI
8186,GENE ID:2865,FFAR3,GPR42,protein-coding,HGNC:4499,ENSG00000185897,GPR42,NCBI
71532,GENE ID:653519,GPR89A,GPR89B,protein-coding,HGNC:31984,ENSG00000117262,GPR89B,NCBI
82492,GENE ID:100528062,ARMCX5-GPRASP2,GPRASP3,protein-coding,HGNC:42000,ENSG00000286237,GPRASP3,NCBI
5329,GENE ID:1798,DPAGT1,GPT,protein-coding,HGNC:2995,ENSG00000172269,GPT,NCBI
8238,GENE ID:2882,GPX7,GPX6,protein-coding,HGNC:4559,ENSG00000116157,GPX6,NCBI
8325,GENE ID:2901,GRIK5,GRIK2,protein-coding,HGNC:4583,ENSG00000105737,GRIK2,NCBI
54447,GENE ID:114787,GPRIN1,GRIN1,protein-coding,HGNC:24835,ENSG00000169258,GRIN1,NCBI
52773,GENE ID:85329,LGALS12,GRIP1,protein-coding,HGNC:15788,ENSG00000133317,GRIP1,NCBI
30146,GENE ID:10499,NCOA2,GRIP1,protein-coding,HGNC:7669,ENSG00000140396,GRIP1,NCBI
38806,GENE ID:29094,LGALSL,GRP,protein-coding,HGNC:25012,ENSG00000119862,GRP,NCBI
34907,GENE ID:25804,LSM4,GRP,protein-coding,HGNC:17259,ENSG00000130520,GRP,NCBI
60076,GENE ID:221044,UCMA,GRP,protein-coding,HGNC:25205,ENSG00000165623,GRP,NCBI
32814,GENE ID:22878,TRAPPC8,GSG1,protein-coding,HGNC:29169,ENSG00000153339,GSG1,NCBI
16222,GENE ID:5621,PRNP,GSS,protein-coding,HGNC:9449,ENSG00000171867,GSS,NCBI
62416,GENE ID:286749,STON1-GTF2A1L,GTF2A1L,protein-coding,HGNC:30651,ENSG00000068781,GTF2A1L,NCBI
72481,GENE ID:728340,GTF2H2C,GTF2H2C_2,protein-coding,HGNC:31394,ENSG00000183474,GTF2H2C_2,NCBI
73715,GENE ID:100093631,GTF2IP4,GTF2I,pseudo,HGNC:51716,ENSG00000293241,GTF2I,NCBI
65360,GENE ID:389524,GTF2IRD2B,GTF2IRD2,protein-coding,HGNC:33125,ENSG00000174428,GTF2IRD2,NCBI
106423,GENE ID:118142757,GUCA1ANB-GUCA1A,GUCA1A,protein-coding,HGNC:56129,ENSG00000290147,GUCA1A,NCBI
71400,GENE ID:653188,GUSBP3,GUSBP1,pseudo,HGNC:37301,ENSG00000290560,GUSBP1,NCBI
64741,GENE ID:387036,GUSBP2,GUSBP4,pseudo,HGNC:18792,ENSG00000290474,GUSBP4,NCBI
73690,GENE ID:100049076,GUSBP17,GUSBP9,pseudo,HGNC:54970,,GUSBP9,NCBI
8699,GENE ID:2996,GYPE,GYPA,protein-coding,HGNC:4705,ENSG00000197465,GYPA,NCBI
8686,GENE ID:2994,GYPB,GYPA,protein-coding,HGNC:4703,ENSG00000250361,GYPA,NCBI
51159,GENE ID:83740,H2AB3,H2AB2,protein-coding,HGNC:14455,ENSG00000277745,H2AB2,NCBI
68944,GENE ID:474381,H2AB2,H2AB3,protein-coding,HGNC:18298,ENSG00000277858,H2AB3,NCBI
23610,GENE ID:8330,H2AC15,H2AC11,protein-coding,HGNC:4726,ENSG00000275221,H2AC11,NCBI
23623,GENE ID:8332,H2AC16,H2AC11,protein-coding,HGNC:4730,ENSG00000276903,H2AC11,NCBI
23646,GENE ID:8336,H2AC17,H2AC11,protein-coding,HGNC:4735,ENSG00000278677,H2AC11,NCBI
23602,GENE ID:8329,H2AC13,H2AC11,protein-coding,HGNC:4725,ENSG00000196747,H2AC11,NCBI
23647,GENE ID:8336,H2AC17,H2AC13,protein-coding,HGNC:4735,ENSG00000278677,H2AC13,NCBI
23611,GENE ID:8330,H2AC15,H2AC13,protein-coding,HGNC:4726,ENSG00000275221,H2AC13,NCBI
23624,GENE ID:8332,H2AC16,H2AC13,protein-coding,HGNC:4730,ENSG00000276903,H2AC13,NCBI
25802,GENE ID:8969,H2AC11,H2AC13,protein-coding,HGNC:4737,ENSG00000196787,H2AC13,NCBI
23612,GENE ID:8330,H2AC15,H2AC14,protein-coding,HGNC:4726,ENSG00000275221,H2AC14,NCBI
23603,GENE ID:8329,H2AC13,H2AC15,protein-coding,HGNC:4725,ENSG00000196747,H2AC15,NCBI
23625,GENE ID:8332,H2AC16,H2AC15,protein-coding,HGNC:4730,ENSG00000276903,H2AC15,NCBI
25803,GENE ID:8969,H2AC11,H2AC15,protein-coding,HGNC:4737,ENSG00000196787,H2AC15,NCBI
23648,GENE ID:8336,H2AC17,H2AC15,protein-coding,HGNC:4735,ENSG00000278677,H2AC15,NCBI
23649,GENE ID:8336,H2AC17,H2AC16,protein-coding,HGNC:4735,ENSG00000278677,H2AC16,NCBI
23604,GENE ID:8329,H2AC13,H2AC16,protein-coding,HGNC:4725,ENSG00000196747,H2AC16,NCBI
25804,GENE ID:8969,H2AC11,H2AC16,protein-coding,HGNC:4737,ENSG00000196787,H2AC16,NCBI
23613,GENE ID:8330,H2AC15,H2AC16,protein-coding,HGNC:4726,ENSG00000275221,H2AC16,NCBI
23614,GENE ID:8330,H2AC15,H2AC17,protein-coding,HGNC:4726,ENSG00000275221,H2AC17,NCBI
25805,GENE ID:8969,H2AC11,H2AC17,protein-coding,HGNC:4737,ENSG00000196787,H2AC17,NCBI
23605,GENE ID:8329,H2AC13,H2AC17,protein-coding,HGNC:4725,ENSG00000196747,H2AC17,NCBI
23626,GENE ID:8332,H2AC16,H2AC17,protein-coding,HGNC:4730,ENSG00000276903,H2AC17,NCBI
72196,GENE ID:723790,H2AC19,H2AC18,protein-coding,HGNC:29668,ENSG00000288859,H2AC18,NCBI
23657,GENE ID:8337,H2AC18,H2AC19,protein-coding,HGNC:4736,ENSG00000288825,H2AC19,NCBI
8776,GENE ID:3012,H2AC8,H2AC4,protein-coding,HGNC:4724,ENSG00000277075,H2AC4,NCBI
23641,GENE ID:8335,H2AC4,H2AC8,protein-coding,HGNC:4734,ENSG00000278463,H2AC8,NCBI
23669,GENE ID:8339,H2BC8,H2BC10,protein-coding,HGNC:4746,ENSG00000273802,H2BC10,NCBI
23688,GENE ID:8343,H2BC7,H2BC10,protein-coding,HGNC:4752,ENSG00000277224,H2BC10,NCBI
23696,GENE ID:8344,H2BC6,H2BC10,protein-coding,HGNC:4753,ENSG00000274290,H2BC10,NCBI
23715,GENE ID:8347,H2BC4,H2BC10,protein-coding,HGNC:4757,ENSG00000180596,H2BC10,NCBI
23670,GENE ID:8339,H2BC8,H2BC4,protein-coding,HGNC:4746,ENSG00000273802,H2BC4,NCBI
23707,GENE ID:8346,H2BC10,H2BC4,protein-coding,HGNC:4756,ENSG00000278588,H2BC4,NCBI
23697,GENE ID:8344,H2BC6,H2BC4,protein-coding,HGNC:4753,ENSG00000274290,H2BC4,NCBI
23689,GENE ID:8343,H2BC7,H2BC4,protein-coding,HGNC:4752,ENSG00000277224,H2BC4,NCBI
23671,GENE ID:8339,H2BC8,H2BC6,protein-coding,HGNC:4746,ENSG00000273802,H2BC6,NCBI
23716,GENE ID:8347,H2BC4,H2BC6,protein-coding,HGNC:4757,ENSG00000180596,H2BC6,NCBI
23708,GENE ID:8346,H2BC10,H2BC6,protein-coding,HGNC:4756,ENSG00000278588,H2BC6,NCBI
23690,GENE ID:8343,H2BC7,H2BC6,protein-coding,HGNC:4752,ENSG00000277224,H2BC6,NCBI
23672,GENE ID:8339,H2BC8,H2BC7,protein-coding,HGNC:4746,ENSG00000273802,H2BC7,NCBI
23709,GENE ID:8346,H2BC10,H2BC7,protein-coding,HGNC:4756,ENSG00000278588,H2BC7,NCBI
23717,GENE ID:8347,H2BC4,H2BC7,protein-coding,HGNC:4757,ENSG00000180596,H2BC7,NCBI
23698,GENE ID:8344,H2BC6,H2BC7,protein-coding,HGNC:4753,ENSG00000274290,H2BC7,NCBI
23718,GENE ID:8347,H2BC4,H2BC8,protein-coding,HGNC:4757,ENSG00000180596,H2BC8,NCBI
23710,GENE ID:8346,H2BC10,H2BC8,protein-coding,HGNC:4756,ENSG00000278588,H2BC8,NCBI
23699,GENE ID:8344,H2BC6,H2BC8,protein-coding,HGNC:4753,ENSG00000274290,H2BC8,NCBI
23691,GENE ID:8343,H2BC7,H2BC8,protein-coding,HGNC:4752,ENSG00000277224,H2BC8,NCBI
8822,GENE ID:3021,H3-3B,H3-3A,protein-coding,HGNC:4765,ENSG00000132475,H3-3A,NCBI
8817,GENE ID:3020,H3-3A,H3-3B,protein-coding,HGNC:4764,ENSG00000163041,H3-3B,NCBI
25789,GENE ID:8968,H3C7,H3C1,protein-coding,HGNC:4773,ENSG00000277775,H3C1,NCBI
23749,GENE ID:8351,H3C4,H3C1,protein-coding,HGNC:4767,ENSG00000197409,H3C1,NCBI
23837,GENE ID:8358,H3C2,H3C1,protein-coding,HGNC:4776,ENSG00000286522,H3C1,NCBI
23762,GENE ID:8352,H3C3,H3C1,protein-coding,HGNC:4768,ENSG00000287080,H3C1,NCBI
23824,GENE ID:8357,H3C10,H3C1,protein-coding,HGNC:4775,ENSG00000278828,H3C1,NCBI
23812,GENE ID:8356,H3C12,H3C1,protein-coding,HGNC:4774,ENSG00000197153,H3C1,NCBI
23775,GENE ID:8353,H3C6,H3C1,protein-coding,HGNC:4769,ENSG00000274750,H3C1,NCBI
23788,GENE ID:8354,H3C11,H3C1,protein-coding,HGNC:4771,ENSG00000275379,H3C1,NCBI
23800,GENE ID:8355,H3C8,H3C1,protein-coding,HGNC:4772,ENSG00000273983,H3C1,NCBI
23763,GENE ID:8352,H3C3,H3C10,protein-coding,HGNC:4768,ENSG00000287080,H3C10,NCBI
23813,GENE ID:8356,H3C12,H3C10,protein-coding,HGNC:4774,ENSG00000197153,H3C10,NCBI
23801,GENE ID:8355,H3C8,H3C10,protein-coding,HGNC:4772,ENSG00000273983,H3C10,NCBI
23789,GENE ID:8354,H3C11,H3C10,protein-coding,HGNC:4771,ENSG00000275379,H3C10,NCBI
25790,GENE ID:8968,H3C7,H3C10,protein-coding,HGNC:4773,ENSG00000277775,H3C10,NCBI
23776,GENE ID:8353,H3C6,H3C10,protein-coding,HGNC:4769,ENSG00000274750,H3C10,NCBI
23750,GENE ID:8351,H3C4,H3C10,protein-coding,HGNC:4767,ENSG00000197409,H3C10,NCBI
23838,GENE ID:8358,H3C2,H3C10,protein-coding,HGNC:4776,ENSG00000286522,H3C10,NCBI
23737,GENE ID:8350,H3C1,H3C10,protein-coding,HGNC:4766,ENSG00000275714,H3C10,NCBI
25791,GENE ID:8968,H3C7,H3C11,protein-coding,HGNC:4773,ENSG00000277775,H3C11,NCBI
23751,GENE ID:8351,H3C4,H3C11,protein-coding,HGNC:4767,ENSG00000197409,H3C11,NCBI
23738,GENE ID:8350,H3C1,H3C11,protein-coding,HGNC:4766,ENSG00000275714,H3C11,NCBI
23764,GENE ID:8352,H3C3,H3C11,protein-coding,HGNC:4768,ENSG00000287080,H3C11,NCBI
23814,GENE ID:8356,H3C12,H3C11,protein-coding,HGNC:4774,ENSG00000197153,H3C11,NCBI
23839,GENE ID:8358,H3C2,H3C11,protein-coding,HGNC:4776,ENSG00000286522,H3C11,NCBI
23777,GENE ID:8353,H3C6,H3C11,protein-coding,HGNC:4769,ENSG00000274750,H3C11,NCBI
23802,GENE ID:8355,H3C8,H3C11,protein-coding,HGNC:4772,ENSG00000273983,H3C11,NCBI
23825,GENE ID:8357,H3C10,H3C11,protein-coding,HGNC:4775,ENSG00000278828,H3C11,NCBI
23752,GENE ID:8351,H3C4,H3C12,protein-coding,HGNC:4767,ENSG00000197409,H3C12,NCBI
23840,GENE ID:8358,H3C2,H3C12,protein-coding,HGNC:4776,ENSG00000286522,H3C12,NCBI
23826,GENE ID:8357,H3C10,H3C12,protein-coding,HGNC:4775,ENSG00000278828,H3C12,NCBI
23765,GENE ID:8352,H3C3,H3C12,protein-coding,HGNC:4768,ENSG00000287080,H3C12,NCBI
25792,GENE ID:8968,H3C7,H3C12,protein-coding,HGNC:4773,ENSG00000277775,H3C12,NCBI
23803,GENE ID:8355,H3C8,H3C12,protein-coding,HGNC:4772,ENSG00000273983,H3C12,NCBI
23739,GENE ID:8350,H3C1,H3C12,protein-coding,HGNC:4766,ENSG00000275714,H3C12,NCBI
23778,GENE ID:8353,H3C6,H3C12,protein-coding,HGNC:4769,ENSG00000274750,H3C12,NCBI
23790,GENE ID:8354,H3C11,H3C12,protein-coding,HGNC:4771,ENSG00000275379,H3C12,NCBI
55790,GENE ID:126961,H3C14,H3C13,protein-coding,HGNC:20503,ENSG00000203811,H3C13,NCBI
62694,GENE ID:333932,H3C15,H3C13,protein-coding,HGNC:20505,ENSG00000203852,H3C13,NCBI
62695,GENE ID:333932,H3C15,H3C14,protein-coding,HGNC:20505,ENSG00000203852,H3C14,NCBI
71555,GENE ID:653604,H3C13,H3C14,protein-coding,HGNC:25311,ENSG00000183598,H3C14,NCBI
71556,GENE ID:653604,H3C13,H3C15,protein-coding,HGNC:25311,ENSG00000183598,H3C15,NCBI
55791,GENE ID:126961,H3C14,H3C15,protein-coding,HGNC:20503,ENSG00000203811,H3C15,NCBI
23779,GENE ID:8353,H3C6,H3C2,protein-coding,HGNC:4769,ENSG00000274750,H3C2,NCBI
23766,GENE ID:8352,H3C3,H3C2,protein-coding,HGNC:4768,ENSG00000287080,H3C2,NCBI
23791,GENE ID:8354,H3C11,H3C2,protein-coding,HGNC:4771,ENSG00000275379,H3C2,NCBI
23740,GENE ID:8350,H3C1,H3C2,protein-coding,HGNC:4766,ENSG00000275714,H3C2,NCBI
23804,GENE ID:8355,H3C8,H3C2,protein-coding,HGNC:4772,ENSG00000273983,H3C2,NCBI
23753,GENE ID:8351,H3C4,H3C2,protein-coding,HGNC:4767,ENSG00000197409,H3C2,NCBI
23827,GENE ID:8357,H3C10,H3C2,protein-coding,HGNC:4775,ENSG00000278828,H3C2,NCBI
23815,GENE ID:8356,H3C12,H3C2,protein-coding,HGNC:4774,ENSG00000197153,H3C2,NCBI
25793,GENE ID:8968,H3C7,H3C2,protein-coding,HGNC:4773,ENSG00000277775,H3C2,NCBI
23805,GENE ID:8355,H3C8,H3C3,protein-coding,HGNC:4772,ENSG00000273983,H3C3,NCBI
23816,GENE ID:8356,H3C12,H3C3,protein-coding,HGNC:4774,ENSG00000197153,H3C3,NCBI
25794,GENE ID:8968,H3C7,H3C3,protein-coding,HGNC:4773,ENSG00000277775,H3C3,NCBI
23792,GENE ID:8354,H3C11,H3C3,protein-coding,HGNC:4771,ENSG00000275379,H3C3,NCBI
23741,GENE ID:8350,H3C1,H3C3,protein-coding,HGNC:4766,ENSG00000275714,H3C3,NCBI
23754,GENE ID:8351,H3C4,H3C3,protein-coding,HGNC:4767,ENSG00000197409,H3C3,NCBI
23828,GENE ID:8357,H3C10,H3C3,protein-coding,HGNC:4775,ENSG00000278828,H3C3,NCBI
23841,GENE ID:8358,H3C2,H3C3,protein-coding,HGNC:4776,ENSG00000286522,H3C3,NCBI
23780,GENE ID:8353,H3C6,H3C3,protein-coding,HGNC:4769,ENSG00000274750,H3C3,NCBI
25795,GENE ID:8968,H3C7,H3C4,protein-coding,HGNC:4773,ENSG00000277775,H3C4,NCBI
23767,GENE ID:8352,H3C3,H3C4,protein-coding,HGNC:4768,ENSG00000287080,H3C4,NCBI
23842,GENE ID:8358,H3C2,H3C4,protein-coding,HGNC:4776,ENSG00000286522,H3C4,NCBI
23829,GENE ID:8357,H3C10,H3C4,protein-coding,HGNC:4775,ENSG00000278828,H3C4,NCBI
23781,GENE ID:8353,H3C6,H3C4,protein-coding,HGNC:4769,ENSG00000274750,H3C4,NCBI
23742,GENE ID:8350,H3C1,H3C4,protein-coding,HGNC:4766,ENSG00000275714,H3C4,NCBI
23793,GENE ID:8354,H3C11,H3C4,protein-coding,HGNC:4771,ENSG00000275379,H3C4,NCBI
23817,GENE ID:8356,H3C12,H3C4,protein-coding,HGNC:4774,ENSG00000197153,H3C4,NCBI
23806,GENE ID:8355,H3C8,H3C4,protein-coding,HGNC:4772,ENSG00000273983,H3C4,NCBI
23830,GENE ID:8357,H3C10,H3C6,protein-coding,HGNC:4775,ENSG00000278828,H3C6,NCBI
23768,GENE ID:8352,H3C3,H3C6,protein-coding,HGNC:4768,ENSG00000287080,H3C6,NCBI
23743,GENE ID:8350,H3C1,H3C6,protein-coding,HGNC:4766,ENSG00000275714,H3C6,NCBI
23843,GENE ID:8358,H3C2,H3C6,protein-coding,HGNC:4776,ENSG00000286522,H3C6,NCBI
25796,GENE ID:8968,H3C7,H3C6,protein-coding,HGNC:4773,ENSG00000277775,H3C6,NCBI
23818,GENE ID:8356,H3C12,H3C6,protein-coding,HGNC:4774,ENSG00000197153,H3C6,NCBI
23794,GENE ID:8354,H3C11,H3C6,protein-coding,HGNC:4771,ENSG00000275379,H3C6,NCBI
23755,GENE ID:8351,H3C4,H3C6,protein-coding,HGNC:4767,ENSG00000197409,H3C6,NCBI
23807,GENE ID:8355,H3C8,H3C6,protein-coding,HGNC:4772,ENSG00000273983,H3C6,NCBI
23756,GENE ID:8351,H3C4,H3C7,protein-coding,HGNC:4767,ENSG00000197409,H3C7,NCBI
23744,GENE ID:8350,H3C1,H3C7,protein-coding,HGNC:4766,ENSG00000275714,H3C7,NCBI
23795,GENE ID:8354,H3C11,H3C7,protein-coding,HGNC:4771,ENSG00000275379,H3C7,NCBI
23782,GENE ID:8353,H3C6,H3C7,protein-coding,HGNC:4769,ENSG00000274750,H3C7,NCBI
23819,GENE ID:8356,H3C12,H3C7,protein-coding,HGNC:4774,ENSG00000197153,H3C7,NCBI
23769,GENE ID:8352,H3C3,H3C7,protein-coding,HGNC:4768,ENSG00000287080,H3C7,NCBI
23831,GENE ID:8357,H3C10,H3C7,protein-coding,HGNC:4775,ENSG00000278828,H3C7,NCBI
23844,GENE ID:8358,H3C2,H3C7,protein-coding,HGNC:4776,ENSG00000286522,H3C7,NCBI
23808,GENE ID:8355,H3C8,H3C7,protein-coding,HGNC:4772,ENSG00000273983,H3C7,NCBI
23796,GENE ID:8354,H3C11,H3C8,protein-coding,HGNC:4771,ENSG00000275379,H3C8,NCBI
23783,GENE ID:8353,H3C6,H3C8,protein-coding,HGNC:4769,ENSG00000274750,H3C8,NCBI
23770,GENE ID:8352,H3C3,H3C8,protein-coding,HGNC:4768,ENSG00000287080,H3C8,NCBI
23820,GENE ID:8356,H3C12,H3C8,protein-coding,HGNC:4774,ENSG00000197153,H3C8,NCBI
23832,GENE ID:8357,H3C10,H3C8,protein-coding,HGNC:4775,ENSG00000278828,H3C8,NCBI
23745,GENE ID:8350,H3C1,H3C8,protein-coding,HGNC:4766,ENSG00000275714,H3C8,NCBI
23845,GENE ID:8358,H3C2,H3C8,protein-coding,HGNC:4776,ENSG00000286522,H3C8,NCBI
25797,GENE ID:8968,H3C7,H3C8,protein-coding,HGNC:4773,ENSG00000277775,H3C8,NCBI
23757,GENE ID:8351,H3C4,H3C8,protein-coding,HGNC:4767,ENSG00000197409,H3C8,NCBI
24016,GENE ID:8368,H4C13,H4C1,protein-coding,HGNC:4791,ENSG00000275126,H4C1,NCBI
23866,GENE ID:8360,H4C4,H4C1,protein-coding,HGNC:4782,ENSG00000277157,H4C1,NCBI
24038,GENE ID:8370,H4C14,H4C1,protein-coding,HGNC:4794,ENSG00000270882,H4C1,NCBI
23885,GENE ID:8361,H4C6,H4C1,protein-coding,HGNC:4783,ENSG00000274618,H4C1,NCBI
23996,GENE ID:8367,H4C5,H4C1,protein-coding,HGNC:4790,ENSG00000276966,H4C1,NCBI
23515,GENE ID:8294,H4C9,H4C1,protein-coding,HGNC:4793,ENSG00000276180,H4C1,NCBI
23921,GENE ID:8363,H4C11,H4C1,protein-coding,HGNC:4785,ENSG00000197238,H4C1,NCBI
23979,GENE ID:8366,H4C2,H4C1,protein-coding,HGNC:4789,ENSG00000278705,H4C1,NCBI
55228,GENE ID:121504,H4C16,H4C1,protein-coding,HGNC:20510,ENSG00000197837,H4C1,NCBI
23942,GENE ID:8364,H4C3,H4C1,protein-coding,HGNC:4787,ENSG00000197061,H4C1,NCBI
69295,GENE ID:554313,H4C15,H4C1,protein-coding,HGNC:29607,ENSG00000270276,H4C1,NCBI
23902,GENE ID:8362,H4C12,H4C1,protein-coding,HGNC:4784,ENSG00000273542,H4C1,NCBI
23962,GENE ID:8365,H4C8,H4C1,protein-coding,HGNC:4788,ENSG00000158406,H4C1,NCBI
23980,GENE ID:8366,H4C2,H4C11,protein-coding,HGNC:4789,ENSG00000278705,H4C11,NCBI
23886,GENE ID:8361,H4C6,H4C11,protein-coding,HGNC:4783,ENSG00000274618,H4C11,NCBI
23867,GENE ID:8360,H4C4,H4C11,protein-coding,HGNC:4782,ENSG00000277157,H4C11,NCBI
24017,GENE ID:8368,H4C13,H4C11,protein-coding,HGNC:4791,ENSG00000275126,H4C11,NCBI
23903,GENE ID:8362,H4C12,H4C11,protein-coding,HGNC:4784,ENSG00000273542,H4C11,NCBI
24039,GENE ID:8370,H4C14,H4C11,protein-coding,HGNC:4794,ENSG00000270882,H4C11,NCBI
23943,GENE ID:8364,H4C3,H4C11,protein-coding,HGNC:4787,ENSG00000197061,H4C11,NCBI
69296,GENE ID:554313,H4C15,H4C11,protein-coding,HGNC:29607,ENSG00000270276,H4C11,NCBI
23849,GENE ID:8359,H4C1,H4C11,protein-coding,HGNC:4781,ENSG00000278637,H4C11,NCBI
23997,GENE ID:8367,H4C5,H4C11,protein-coding,HGNC:4790,ENSG00000276966,H4C11,NCBI
55229,GENE ID:121504,H4C16,H4C11,protein-coding,HGNC:20510,ENSG00000197837,H4C11,NCBI
23516,GENE ID:8294,H4C9,H4C11,protein-coding,HGNC:4793,ENSG00000276180,H4C11,NCBI
23963,GENE ID:8365,H4C8,H4C11,protein-coding,HGNC:4788,ENSG00000158406,H4C11,NCBI
23964,GENE ID:8365,H4C8,H4C12,protein-coding,HGNC:4788,ENSG00000158406,H4C12,NCBI
23922,GENE ID:8363,H4C11,H4C12,protein-coding,HGNC:4785,ENSG00000197238,H4C12,NCBI
23887,GENE ID:8361,H4C6,H4C12,protein-coding,HGNC:4783,ENSG00000274618,H4C12,NCBI
23868,GENE ID:8360,H4C4,H4C12,protein-coding,HGNC:4782,ENSG00000277157,H4C12,NCBI
55230,GENE ID:121504,H4C16,H4C12,protein-coding,HGNC:20510,ENSG00000197837,H4C12,NCBI
24018,GENE ID:8368,H4C13,H4C12,protein-coding,HGNC:4791,ENSG00000275126,H4C12,NCBI
69297,GENE ID:554313,H4C15,H4C12,protein-coding,HGNC:29607,ENSG00000270276,H4C12,NCBI
23517,GENE ID:8294,H4C9,H4C12,protein-coding,HGNC:4793,ENSG00000276180,H4C12,NCBI
23944,GENE ID:8364,H4C3,H4C12,protein-coding,HGNC:4787,ENSG00000197061,H4C12,NCBI
24040,GENE ID:8370,H4C14,H4C12,protein-coding,HGNC:4794,ENSG00000270882,H4C12,NCBI
23850,GENE ID:8359,H4C1,H4C12,protein-coding,HGNC:4781,ENSG00000278637,H4C12,NCBI
23981,GENE ID:8366,H4C2,H4C12,protein-coding,HGNC:4789,ENSG00000278705,H4C12,NCBI
23998,GENE ID:8367,H4C5,H4C12,protein-coding,HGNC:4790,ENSG00000276966,H4C12,NCBI
23904,GENE ID:8362,H4C12,H4C13,protein-coding,HGNC:4784,ENSG00000273542,H4C13,NCBI
24041,GENE ID:8370,H4C14,H4C13,protein-coding,HGNC:4794,ENSG00000270882,H4C13,NCBI
23888,GENE ID:8361,H4C6,H4C13,protein-coding,HGNC:4783,ENSG00000274618,H4C13,NCBI
69298,GENE ID:554313,H4C15,H4C13,protein-coding,HGNC:29607,ENSG00000270276,H4C13,NCBI
23869,GENE ID:8360,H4C4,H4C13,protein-coding,HGNC:4782,ENSG00000277157,H4C13,NCBI
55231,GENE ID:121504,H4C16,H4C13,protein-coding,HGNC:20510,ENSG00000197837,H4C13,NCBI
23945,GENE ID:8364,H4C3,H4C13,protein-coding,HGNC:4787,ENSG00000197061,H4C13,NCBI
23982,GENE ID:8366,H4C2,H4C13,protein-coding,HGNC:4789,ENSG00000278705,H4C13,NCBI
23999,GENE ID:8367,H4C5,H4C13,protein-coding,HGNC:4790,ENSG00000276966,H4C13,NCBI
23965,GENE ID:8365,H4C8,H4C13,protein-coding,HGNC:4788,ENSG00000158406,H4C13,NCBI
23851,GENE ID:8359,H4C1,H4C13,protein-coding,HGNC:4781,ENSG00000278637,H4C13,NCBI
23923,GENE ID:8363,H4C11,H4C13,protein-coding,HGNC:4785,ENSG00000197238,H4C13,NCBI
23518,GENE ID:8294,H4C9,H4C13,protein-coding,HGNC:4793,ENSG00000276180,H4C13,NCBI
23519,GENE ID:8294,H4C9,H4C14,protein-coding,HGNC:4793,ENSG00000276180,H4C14,NCBI
23870,GENE ID:8360,H4C4,H4C14,protein-coding,HGNC:4782,ENSG00000277157,H4C14,NCBI
23852,GENE ID:8359,H4C1,H4C14,protein-coding,HGNC:4781,ENSG00000278637,H4C14,NCBI
69299,GENE ID:554313,H4C15,H4C14,protein-coding,HGNC:29607,ENSG00000270276,H4C14,NCBI
23946,GENE ID:8364,H4C3,H4C14,protein-coding,HGNC:4787,ENSG00000197061,H4C14,NCBI
55232,GENE ID:121504,H4C16,H4C14,protein-coding,HGNC:20510,ENSG00000197837,H4C14,NCBI
23905,GENE ID:8362,H4C12,H4C14,protein-coding,HGNC:4784,ENSG00000273542,H4C14,NCBI
23889,GENE ID:8361,H4C6,H4C14,protein-coding,HGNC:4783,ENSG00000274618,H4C14,NCBI
23966,GENE ID:8365,H4C8,H4C14,protein-coding,HGNC:4788,ENSG00000158406,H4C14,NCBI
23983,GENE ID:8366,H4C2,H4C14,protein-coding,HGNC:4789,ENSG00000278705,H4C14,NCBI
